filename,webpage_url,title,description,archived_at
note-emperor.html,https://note.com/xyz1090/n/n2beedca0a28d,エンペラー｜アラカク通信のーと,エンペラーとは外国の総合格闘技団体である。   メジャー3団体の一つ！  ☆現在のルール ・リング ・1R5分3R制 ・ラウンドマスト ・青いオープンフィンガーグローブ ・肘打ち有り ・4点ポジションでの頭部への蹴り、踏みつけ、サッカーボールキック無し  ☆歴代王者 ライト級王者（70kg） 初代王者　アイス・トロン ２代目　むらき（ターゲットライト級王座統一） ３代目　アイス・トロン ４代目　ナパーム ５代目　アイス・トロン ６代目　エスティ・グリフォン ７代目　ブルーワン ８代目　アイス・トロン ９代目    コルト・アプロー １０代目　マルコ・フレイ,2026-05-28T20:11:44
note-max-bout.html,https://note.com/xyz1090/n/n4f9af5458b40,MAXバウト｜アラカク通信のーと,MAXバウトとはメジャー３団体（ターゲット、エンペラー、マウンテン・ヒーローズ）の強者たちだけが戦える日本の総合格闘技団体。 （通称、白グローブ） 白グローブはごく稀にワンマッチ大会を行うこともあるが基本トーナメントのみ！ （＊MAXバウトにはNo.シリーズはなく不定期なため、団体とゆうよりMAXバウトとゆう大会）  ☆ルール ・リング ・1R5分3R制 ・ラウンドマスト ・白いオープンフィンガーグローブ ・肘打ち有り、4点ポジションヒザ蹴り有り ・踏みつけ、サッカーボールキック無し  【MAXバウトの歴代王者】 ☆ライト級王者 第1回アイス・トロン（エンペラー） 第2回むらき（ターゲ,2026-05-28T20:11:44
note-mh.html,https://note.com/xyz1090/n/n0f42ce1bf597,マウンテン・ヒーローズ（M・H）｜アラカク通信のーと,マウンテン・ヒーローズ（M・H）とは総合格闘技団体マウンテンとヒーローズが合併してできた外国の団体である。メジャー3団体の一つ。 M・Hと表記される。    ☆現在のルール ・リング ・1R5分の3R制 ・ラウンドマスト ・赤いオープンフィンガーグローブ ・肘打ち、4点ポジションでの頭部への膝蹴り有り ・踏みつけ、サッカーボールキック無し  ☆歴代王者 ライト級王者（72kg） 初代王者　アサシン ２代目　ランダーデビル ３代目　サイク・アーマー   ４代目　ランダーデビル  ミドル級王者（92kg） 初代　テール・ジャンク    ☆トーナメント 第1回ラ,2026-05-28T20:11:44
note-n001f39a5fefb.html,https://note.com/xyz1090/n/n001f39a5fefb,マウンテン・ヒーローズNo.33試合結果｜アラカク通信のーと,マウンテン・ヒーローズNo.33  ☆ミドル級ワンマッチ ●クロノ・マリーケン【8勝8敗】 🆚 ○らんちゃーすがや【5勝1敗】 （2R3分46秒KO   左フック→右ジャブ→パウンド）   ☆ライト級ワンマッチ ○ローリングjr 【4勝2敗】 🆚 ●ダブド・ガブリシャン【3勝1敗】 （1R1分31秒　ギロチンチョーク）   ☆ライト級ワンマッチ ○キマイラ【6勝4敗】 🆚 ●ムラト・クツワ【1勝2敗】 （1R2分23秒KO  左フック）,2026-05-28T20:11:44
note-n046653bda67a.html,https://note.com/xyz1090/n/n046653bda67a,マウンテン・ヒーローズNo.32対戦カード｜アラカク通信のーと,マウンテン・ヒーローズNo.32  ☆ライト級ワンマッチ（ノンタイトル） 🟥ランダーデビル 35歳 174cm デビル軍 【25勝5敗】 🆚 🟦 アイス・トロン 46歳 173cm パーフェクトジム 【45勝13敗】  ☆ライト級ワンマッチ 🟥さんごく 30歳 168cm チームジャパン 【6勝2敗】 🆚 🟦レオナルド・フォードバック 24歳 180cm ツインズ 【メジャーデビュー戦】 B1ライト級王者、バトルモードライト級王者  ☆ライト級ワンマッチ 🟥 くわしお 30歳 172cm カイザーアスリート 【10勝6敗】 🆚 🟦バン・ベルソーザ,2026-05-28T20:11:44
note-n05a3b7b38805.html,https://note.com/xyz1090/n/n05a3b7b38805,ターゲットNo.93試合結果｜アラカク通信のーと,ターゲットNo.93試合結果  ☆ライト級タイトルマッチ ◯わく【8勝1敗】＊① 🆚 ●きたむら【16勝5敗】 （1R1分51秒KO  膝蹴り→パウンド） ＊防衛数   ☆ライト級ワンマッチ ●かぶと【11勝12敗】 🆚 ○つくりはら【1勝0敗】 （1R1分３２秒　RNC）   ☆ライト級ワンマッチ ●きょうない【1勝0敗】 🆚 ○つおし【1勝0敗】 （3R終了判定2-1）   ☆ライト級ワンマッチ ○フラーム・グラン【17勝10敗】 🆚 ●スマット・ターウィ【0勝1敗】 （1R1分50秒KO 左アッパー）   ☆ライト級ワンマッチ ○ワインセル【8勝7敗】 🆚 ●イベルト・,2026-05-28T20:11:44
note-n140f32db6ddd.html,https://note.com/xyz1090/n/n140f32db6ddd,マウンテン・ヒーローズNo.30対戦カード｜アラカク通信のーと,マウンテン・ヒーローズNo.30対戦カード  ☆ライト級タイトルマッチ 🟥👑 ランダーデビル 35歳 174cm デビル軍 【24勝5敗】 🆚 🟦 さんごく 30歳 168cm チームジャパン 【6勝1敗】  ☆ライト級ワンマッチ 🟥バンドルフ・ガルブンタ 30歳 180cm  ミッションズ 【4勝4敗】 🆚 🟦ローリングjr  27歳 186cm チームハーツ 【1勝2敗】  ☆ライト級ワンマッチ 🟥ムラト・クツワ 30歳 176cm KBMトップチーム 【1勝0敗】 🆚 🟦ダブド・ガブリシャン 26歳 175cm ブラックタワー 【1勝0敗】  ☆ライト級ワンマッチ 🟥キ,2026-05-28T20:11:44
note-n15885dea4393.html,https://note.com/xyz1090/n/n15885dea4393,ターゲットNo.101試合結果｜アラカク通信のーと,ターゲットNo.101  ☆ターゲットミドル級タイトルマッチ ○ギタミン・アーロン【14勝4敗】 🆚 ●おとさわ【23勝16敗】 （1R3分35秒KO　左アッパー→パウンド） ギタミン・アーロン防衛［1］  ☆ミドル級ワンマッチ ○かべい【13勝5敗】 🆚 ●ラミーロ・コート【0勝1敗】 （2R3分29秒KO  飛び込みパンチ→パウンド）  ☆ミドル級ワンマッチ ●ザモン【1勝2敗】 🆚 ○オーロラデビル【1勝0敗】 （1R2分40秒  三角絞め）  ☆ライト級ワンマッチ ○かぶと【11勝13敗】 🆚 ●イベルト・キューミ【3勝4敗】 （3R2分11秒KO &nbs,2026-05-28T20:11:44
note-n168697057b95.html,https://note.com/xyz1090/n/n168697057b95,MAXバウトスペシャルワンマッチ大会試合結果｜アラカク通信のーと,MAXバウトスペシャルワンマッチ大会試合結果  ☆ヘビー級ワンマッチ（98kg契約） ●テール・ジャンク【27勝3敗】 🆚 ◯タイプ・ジー【1勝0敗】 （3R終了　判定3-0）  ☆ミドル級ワンマッチ ◯ミサ・ウィル・ジョー【13勝2敗】 🆚 🟦 ①ルージュド・スターリー【11勝3敗】 （3R終了 判定3-0）  ☆ミドル級ワンマッチ ◯かべい【12勝4敗】 🆚 ●さかえだ【20勝9敗】 （1R2分52秒 ＫＯ　左フック→パウンド）  ☆ミドル級ワンマッチ ◯おとさわ【23勝15敗】 🆚 ●らんちゃーすがや【6勝2敗】 （3R3分05秒　RNC）  ☆ミドル級ワンマッチ ◯ダイス・ヴォ,2026-05-28T20:11:44
note-n16df678bd0b6.html,https://note.com/xyz1090/n/n16df678bd0b6,マウンテン・ヒーローズNo.34 試合結果｜アラカク通信のーと,マウンテン・ヒーローズNo.34 試合結果  ☆ヘビー級ワンマッチ ○テール・ジャンク【27勝2敗】 🆚 ●クーラー・ジョイントン【0勝1敗】 （1R3分25秒KO  左アッパー→パウンド）   ☆ミドル級ワンマッチ ●ゼット【11勝6敗】 🆚 ○ライン・デュオ【1勝1敗】 （3R終了　判定2-1）   ☆ライト級ワンマッチ ○イスカン・アステ【4勝1敗】 🆚 ●ジョン・バレー【2勝5敗】 （1R0分13秒KO  左ストレート）   ☆ライト級ワンマッチ ●キマイラ【6勝5敗】 🆚 ○ダブド・ガブリシャン【4勝1敗】 （1R2分16秒　ダースチョーク）,2026-05-28T20:11:44
